spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020/02/24,10.571428571428571,10.571428571428571,0.2857142857142857,2.142857142857143,0.0,0.0,2.0,1.5714285714285714,0.5714285714285714,2.4285714285714284,23.714285714285715,7.428571428571429,-2.857142857142857,0.7142857142857143,1.5714285714285714,0.7142857142857143
1,2020/03/02,48.42857142857143,48.42857142857143,2.142857142857143,5.714285714285714,0.0,0.0,1.5714285714285714,5.0,2.4285714285714284,4.142857142857143,7.428571428571429,15.857142857142858,0.7142857142857143,-0.2857142857142857,0.7142857142857143,0.5714285714285714
1,2020/03/09,94.28571428571429,94.28571428571429,5.714285714285714,26.857142857142858,0.0,0.14285714285714285,5.0,-2.142857142857143,4.142857142857143,14.857142857142858,15.857142857142858,8.0,-0.2857142857142857,-10.857142857142858,0.5714285714285714,2.5714285714285716
1,2020/03/16,150.0,150.0,26.857142857142858,173.85714285714286,0.14285714285714285,3.0,-2.142857142857143,-36.0,14.857142857142858,1.2857142857142858,8.0,8.714285714285714,-10.857142857142858,-48.42857142857143,2.5714285714285716,14.428571428571429
1,2020/03/23,175.57142857142858,175.57142857142858,173.85714285714286,687.2857142857143,3.0,10.571428571428571,-36.0,-53.42857142857143,1.2857142857142858,-21.857142857142858,8.714285714285714,-15.714285714285714,-48.42857142857143,-65.14285714285714,14.428571428571429,21.0
1,2020/03/30,185.0,185.0,687.2857142857143,1353.7142857142858,10.571428571428571,48.42857142857143,-53.42857142857143,-55.0,-21.857142857142858,-26.142857142857142,-15.714285714285714,-19.142857142857142,-65.14285714285714,-67.85714285714286,21.0,21.857142857142858
1,2020/04/06,164.71428571428572,164.71428571428572,1353.7142857142858,1220.4285714285713,48.42857142857143,94.28571428571429,-55.0,-56.57142857142857,-26.142857142857142,-25.571428571428573,-19.142857142857142,-9.571428571428571,-67.85714285714286,-68.28571428571429,21.857142857142858,22.714285714285715
1,2020/04/13,119.85714285714286,119.85714285714286,1220.4285714285713,1619.142857142857,94.28571428571429,150.0,-56.57142857142857,-53.0,-25.571428571428573,-24.428571428571427,-9.571428571428571,-13.428571428571429,-68.28571428571429,-66.57142857142857,22.714285714285715,22.285714285714285
1,2020/04/20,95.0,95.0,1619.142857142857,1771.4285714285713,150.0,175.57142857142858,-53.0,-50.714285714285715,-24.428571428571427,-23.428571428571427,-13.428571428571429,-2.5714285714285716,-66.57142857142857,-63.857142857142854,22.285714285714285,20.714285714285715
1,2020/04/27,82.85714285714286,82.85714285714286,1771.4285714285713,1781.5714285714287,175.57142857142858,185.0,-50.714285714285715,-47.285714285714285,-23.428571428571427,-19.0,-2.5714285714285716,14.571428571428571,-63.857142857142854,-60.57142857142857,20.714285714285715,18.571428571428573
