spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t
1,2020/02/17,3.0,3.0,0.2857142857142857,0.0,2.0,0.5714285714285714,23.714285714285715,-2.857142857142857,1.5714285714285714
1,2020/02/24,10.571428571428571,10.571428571428571,2.142857142857143,0.0,1.5714285714285714,2.4285714285714284,7.428571428571429,0.7142857142857143,0.7142857142857143
1,2020/03/02,48.42857142857143,48.42857142857143,5.714285714285714,0.0,5.0,4.142857142857143,15.857142857142858,-0.2857142857142857,0.5714285714285714
1,2020/03/09,94.28571428571429,94.28571428571429,26.857142857142858,0.14285714285714285,-2.142857142857143,14.857142857142858,8.0,-10.857142857142858,2.5714285714285716
1,2020/03/16,150.0,150.0,173.85714285714286,3.0,-36.0,1.2857142857142858,8.714285714285714,-48.42857142857143,14.428571428571429
1,2020/03/23,175.57142857142858,175.57142857142858,687.2857142857143,10.571428571428571,-53.42857142857143,-21.857142857142858,-15.714285714285714,-65.14285714285714,21.0
1,2020/03/30,185.0,185.0,1353.7142857142858,48.42857142857143,-55.0,-26.142857142857142,-19.142857142857142,-67.85714285714286,21.857142857142858
1,2020/04/06,164.71428571428572,164.71428571428572,1220.4285714285713,94.28571428571429,-56.57142857142857,-25.571428571428573,-9.571428571428571,-68.28571428571429,22.714285714285715
1,2020/04/13,119.85714285714286,119.85714285714286,1619.142857142857,150.0,-53.0,-24.428571428571427,-13.428571428571429,-66.57142857142857,22.285714285714285
1,2020/04/20,95.0,95.0,1771.4285714285713,175.57142857142858,-50.714285714285715,-23.428571428571427,-2.5714285714285716,-63.857142857142854,20.714285714285715
1,2020/04/27,82.85714285714286,82.85714285714286,1781.5714285714287,185.0,-47.285714285714285,-19.0,14.571428571428571,-60.57142857142857,18.571428571428573
1,2020/05/04,51.857142857142854,51.857142857142854,1369.5714285714287,164.71428571428572,-42.857142857142854,-12.428571428571429,19.142857142857142,-60.0,18.0
1,2020/05/11,31.428571428571427,31.428571428571427,1177.2857142857142,119.85714285714286,-40.0,-12.285714285714286,42.0,-56.857142857142854,16.714285714285715
1,2020/05/18,19.571428571428573,19.571428571428573,1110.5714285714287,95.0,-33.714285714285715,-7.285714285714286,79.57142857142857,-53.42857142857143,15.714285714285714
1,2020/05/25,17.571428571428573,17.571428571428573,910.4285714285714,82.85714285714286,-28.857142857142858,-4.571428571428571,66.85714285714286,-50.285714285714285,14.142857142857142
1,2020/06/01,10.571428571428571,10.571428571428571,671.2857142857143,51.857142857142854,-26.571428571428573,-3.5714285714285716,91.42857142857143,-47.857142857142854,12.714285714285714
1,2020/06/08,9.142857142857142,9.142857142857142,460.85714285714283,31.428571428571427,-22.857142857142858,-2.4285714285714284,101.42857142857143,-46.57142857142857,11.714285714285714
1,2020/06/15,8.0,8.0,382.0,19.571428571428573,-18.857142857142858,2.142857142857143,130.57142857142858,-43.42857142857143,9.714285714285714
1,2020/06/22,5.0,5.0,302.14285714285717,17.571428571428573,-18.142857142857142,0.0,125.28571428571429,-41.857142857142854,9.857142857142858
1,2020/06/29,7.714285714285714,7.714285714285714,314.42857142857144,10.571428571428571,-14.428571428571429,3.2857142857142856,166.0,-42.42857142857143,9.0
1,2020/07/06,5.0,5.0,279.14285714285717,9.142857142857142,-13.428571428571429,2.7142857142857144,135.14285714285714,-42.0,8.714285714285714
1,2020/07/13,5.571428571428571,5.571428571428571,402.85714285714283,8.0,-12.857142857142858,2.7142857142857144,153.71428571428572,-41.57142857142857,7.857142857142857
1,2020/07/20,5.714285714285714,5.714285714285714,517.2857142857143,5.0,-12.285714285714286,3.142857142857143,173.85714285714286,-41.142857142857146,7.714285714285714
1,2020/07/27,5.571428571428571,5.571428571428571,425.57142857142856,7.714285714285714,-11.285714285714286,4.285714285714286,170.14285714285714,-41.285714285714285,7.571428571428571
1,2020/08/03,3.4285714285714284,3.4285714285714284,371.2857142857143,5.0,-12.428571428571429,0.7142857142857143,170.71428571428572,-41.57142857142857,7.857142857142857
1,2020/08/10,3.857142857142857,3.857142857142857,376.7142857142857,5.571428571428571,-10.714285714285714,1.4285714285714286,174.0,-40.142857142857146,6.571428571428571
1,2020/08/17,7.428571428571429,7.428571428571429,401.85714285714283,5.714285714285714,-11.0,0.7142857142857143,152.57142857142858,-40.285714285714285,6.714285714285714
1,2020/08/24,7.857142857142857,7.857142857142857,438.7142857142857,5.571428571428571,-10.285714285714286,1.1428571428571428,131.71428571428572,-40.0,6.714285714285714
1,2020/08/31,32.42857142857143,32.42857142857143,571.7142857142857,3.4285714285714284,-8.428571428571429,2.7142857142857144,141.14285714285714,-37.714285714285715,6.0
1,2020/09/07,19.714285714285715,19.714285714285715,678.5714285714286,3.857142857142857,-14.571428571428571,-2.5714285714285716,103.42857142857143,-42.42857142857143,8.0
1,2020/09/14,21.714285714285715,21.714285714285715,1015.7142857142857,7.428571428571429,-11.714285714285714,-1.5714285714285714,92.28571428571429,-40.857142857142854,7.0
1,2020/09/21,28.142857142857142,28.142857142857142,1382.5714285714287,7.857142857142857,-14.571428571428571,-1.5714285714285714,86.71428571428571,-43.0,7.428571428571429
1,2020/09/28,36.57142857142857,36.57142857142857,1867.5714285714287,32.42857142857143,-16.285714285714285,-0.7142857142857143,54.42857142857143,-44.57142857142857,8.428571428571429
1,2020/10/05,46.857142857142854,46.857142857142854,2271.714285714286,19.714285714285715,-18.857142857142858,0.5714285714285714,53.857142857142854,-45.42857142857143,8.714285714285714
1,2020/10/12,62.42857142857143,62.42857142857143,2343.0,21.714285714285715,-23.428571428571427,-6.571428571428571,45.857142857142854,-48.57142857142857,11.285714285714286
1,2020/10/19,72.14285714285714,72.14285714285714,2581.4285714285716,28.142857142857142,-20.142857142857142,-3.142857142857143,27.714285714285715,-46.142857142857146,10.142857142857142
1,2020/10/26,78.14285714285714,78.14285714285714,2967.8571428571427,36.57142857142857,-19.857142857142858,-1.5714285714285714,11.714285714285714,-45.857142857142854,9.857142857142858
1,2020/11/02,92.14285714285714,92.14285714285714,3930.8571428571427,46.857142857142854,-21.142857142857142,-5.142857142857143,32.42857142857143,-46.714285714285715,10.142857142857142
1,2020/11/09,108.85714285714286,108.85714285714286,4610.714285714285,62.42857142857143,-22.142857142857142,-4.857142857142857,15.0,-49.857142857142854,11.571428571428571
1,2020/11/16,119.57142857142857,119.57142857142857,4928.0,72.14285714285714,-23.428571428571427,-5.714285714285714,-5.142857142857143,-50.714285714285715,11.571428571428571
1,2020/11/23,113.85714285714286,113.85714285714286,5675.142857142857,78.14285714285714,-24.142857142857142,-5.285714285714286,-4.285714285714286,-51.57142857142857,11.857142857142858
1,2020/11/30,119.28571428571429,119.28571428571429,6455.142857142857,92.14285714285714,-25.285714285714285,-4.285714285714286,-5.142857142857143,-52.0,12.428571428571429
1,2020/12/07,152.57142857142858,152.57142857142858,6513.571428571428,108.85714285714286,-25.571428571428573,-3.857142857142857,-10.571428571428571,-53.42857142857143,12.428571428571429
1,2020/12/14,147.42857142857142,147.42857142857142,6757.857142857143,119.57142857142857,-24.857142857142858,-1.2857142857142858,-11.285714285714286,-53.142857142857146,13.0
1,2020/12/21,144.71428571428572,144.71428571428572,6057.857142857143,113.85714285714286,-34.714285714285715,-5.285714285714286,-1.5714285714285714,-61.42857142857143,16.857142857142858
1,2020/12/28,131.71428571428572,131.71428571428572,7417.571428571428,119.28571428571429,-42.142857142857146,-13.285714285714286,14.714285714285714,-65.71428571428571,20.142857142857142
1,2021/01/04,102.71428571428571,102.71428571428571,8361.42857142857,152.57142857142858,-40.142857142857146,-11.142857142857142,3.5714285714285716,-60.57142857142857,15.857142857142858
1,2021/01/11,71.57142857142857,71.57142857142857,6939.285714285715,147.42857142857142,-44.0,-17.0,-4.571428571428571,-62.285714285714285,15.857142857142858
1,2021/01/18,59.142857142857146,59.142857142857146,5551.428571428572,144.71428571428572,-43.857142857142854,-17.428571428571427,-8.857142857142858,-62.42857142857143,15.428571428571429
1,2021/01/25,45.0,45.0,4522.0,131.71428571428572,-43.0,-16.714285714285715,-10.571428571428571,-62.57142857142857,15.142857142857142
