spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-2,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-2,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-2,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-2,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-2,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-2,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-2,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020-02-18,0.0,0.0,0,1,0,0,0,0,13.0,-12.0,-1.0,8.0,-15.0,4.0,41.0,63.0,6.0,4.0,-28.0,-1.0,-2.0,11.0,1.0
1,2020-02-19,0.0,0.0,1,0,0,0,0,0,-12.0,-1.0,1.0,-15.0,4.0,1.0,63.0,6.0,9.0,-28.0,-1.0,0.0,11.0,1.0,0.0
1,2020-02-20,0.0,0.0,0,0,0,0,0,0,-1.0,1.0,6.0,4.0,1.0,4.0,6.0,9.0,14.0,-1.0,0.0,-1.0,1.0,0.0,0.0
1,2020-02-21,0.0,0.0,0,0,1,0,0,0,1.0,6.0,2.0,1.0,4.0,-1.0,9.0,14.0,10.0,0.0,-1.0,-1.0,0.0,0.0,1.0
1,2020-02-22,0.0,0.0,0,1,0,0,0,0,6.0,2.0,8.0,4.0,-1.0,5.0,14.0,10.0,28.0,-1.0,-1.0,6.0,0.0,1.0,-1.0
1,2020-02-23,0.0,0.0,1,0,0,0,0,0,2.0,8.0,10.0,-1.0,5.0,6.0,10.0,28.0,36.0,-1.0,6.0,5.0,1.0,-1.0,-1.0
1,2020-02-24,1.0,1.0,0,0,1,0,0,0,8.0,10.0,3.0,5.0,6.0,2.0,28.0,36.0,19.0,6.0,5.0,-1.0,-1.0,-1.0,0.0
1,2020-02-25,0.0,0.0,0,1,1,0,0,0,10.0,3.0,2.0,6.0,2.0,5.0,36.0,19.0,9.0,5.0,-1.0,0.0,-1.0,0.0,0.0
1,2020-02-26,0.0,0.0,1,1,0,0,0,0,3.0,2.0,-2.0,2.0,5.0,2.0,19.0,9.0,1.0,-1.0,0.0,-2.0,0.0,0.0,1.0
1,2020-02-27,0.0,0.0,1,0,2,0,0,0,2.0,-2.0,-8.0,5.0,2.0,-9.0,9.0,1.0,-6.0,0.0,-2.0,-5.0,0.0,1.0,4.0
