spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-7,_Daily_Cases t-6,_Daily_Cases t-5,_Daily_Cases t-4,_Daily_Cases t-3,_Daily_Cases t-2,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-7,Daily_Deaths t-6,Daily_Deaths t-5,Daily_Deaths t-4,Daily_Deaths t-3,Daily_Deaths t-2,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-7,retail_and_recreation_percent_change_from_baseline t-6,retail_and_recreation_percent_change_from_baseline t-5,retail_and_recreation_percent_change_from_baseline t-4,retail_and_recreation_percent_change_from_baseline t-3,retail_and_recreation_percent_change_from_baseline t-2,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-7,grocery_and_pharmacy_percent_change_from_baseline t-6,grocery_and_pharmacy_percent_change_from_baseline t-5,grocery_and_pharmacy_percent_change_from_baseline t-4,grocery_and_pharmacy_percent_change_from_baseline t-3,grocery_and_pharmacy_percent_change_from_baseline t-2,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-7,parks_percent_change_from_baseline t-6,parks_percent_change_from_baseline t-5,parks_percent_change_from_baseline t-4,parks_percent_change_from_baseline t-3,parks_percent_change_from_baseline t-2,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-7,transit_stations_percent_change_from_baseline t-6,transit_stations_percent_change_from_baseline t-5,transit_stations_percent_change_from_baseline t-4,transit_stations_percent_change_from_baseline t-3,transit_stations_percent_change_from_baseline t-2,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-7,residential_percent_change_from_baseline_ t-6,residential_percent_change_from_baseline_ t-5,residential_percent_change_from_baseline_ t-4,residential_percent_change_from_baseline_ t-3,residential_percent_change_from_baseline_ t-2,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020-02-23,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0,-12.0,-1.0,1.0,6.0,2.0,8.0,10.0,8.0,-15.0,4.0,1.0,4.0,-1.0,5.0,6.0,41.0,63.0,6.0,9.0,14.0,10.0,28.0,36.0,4.0,-28.0,-1.0,0.0,-1.0,-1.0,6.0,5.0,-2.0,11.0,1.0,0.0,0.0,1.0,-1.0,-1.0
1,2020-02-24,1.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-12.0,-1.0,1.0,6.0,2.0,8.0,10.0,3.0,-15.0,4.0,1.0,4.0,-1.0,5.0,6.0,2.0,63.0,6.0,9.0,14.0,10.0,28.0,36.0,19.0,-28.0,-1.0,0.0,-1.0,-1.0,6.0,5.0,-1.0,11.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0.0
1,2020-02-25,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1.0,1.0,6.0,2.0,8.0,10.0,3.0,2.0,4.0,1.0,4.0,-1.0,5.0,6.0,2.0,5.0,6.0,9.0,14.0,10.0,28.0,36.0,19.0,9.0,-1.0,0.0,-1.0,-1.0,6.0,5.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
1,2020-02-26,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,6.0,2.0,8.0,10.0,3.0,2.0,-2.0,1.0,4.0,-1.0,5.0,6.0,2.0,5.0,2.0,9.0,14.0,10.0,28.0,36.0,19.0,9.0,1.0,0.0,-1.0,-1.0,6.0,5.0,-1.0,0.0,-2.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0
1,2020-02-27,0.0,0.0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,6.0,2.0,8.0,10.0,3.0,2.0,-2.0,-8.0,4.0,-1.0,5.0,6.0,2.0,5.0,2.0,-9.0,14.0,10.0,28.0,36.0,19.0,9.0,1.0,-6.0,-1.0,-1.0,6.0,5.0,-1.0,0.0,-2.0,-5.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,4.0
1,2020-02-28,0.0,0.0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,2.0,8.0,10.0,3.0,2.0,-2.0,-8.0,-1.0,-1.0,5.0,6.0,2.0,5.0,2.0,-9.0,1.0,10.0,28.0,36.0,19.0,9.0,1.0,-6.0,-5.0,-1.0,6.0,5.0,-1.0,0.0,-2.0,-5.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,4.0,1.0
1,2020-02-29,0.0,0.0,0,0,1,1,0,2,1,6,0,0,0,0,0,0,0,0,8.0,10.0,3.0,2.0,-2.0,-8.0,-1.0,7.0,5.0,6.0,2.0,5.0,2.0,-9.0,1.0,7.0,28.0,36.0,19.0,9.0,1.0,-6.0,-5.0,11.0,6.0,5.0,-1.0,0.0,-2.0,-5.0,1.0,6.0,-1.0,-1.0,0.0,0.0,1.0,4.0,1.0,0.0
1,2020-03-01,0.0,0.0,0,1,1,0,2,1,6,4,0,0,0,0,0,0,0,0,10.0,3.0,2.0,-2.0,-8.0,-1.0,7.0,10.0,6.0,2.0,5.0,2.0,-9.0,1.0,7.0,9.0,36.0,19.0,9.0,1.0,-6.0,-5.0,11.0,23.0,5.0,-1.0,0.0,-2.0,-5.0,1.0,6.0,6.0,-1.0,0.0,0.0,1.0,4.0,1.0,0.0,-1.0
1,2020-03-02,3.0,3.0,1,1,0,2,1,6,4,3,0,0,0,0,0,0,0,0,3.0,2.0,-2.0,-8.0,-1.0,7.0,10.0,3.0,2.0,5.0,2.0,-9.0,1.0,7.0,9.0,3.0,19.0,9.0,1.0,-6.0,-5.0,11.0,23.0,1.0,-1.0,0.0,-2.0,-5.0,1.0,6.0,6.0,-2.0,0.0,0.0,1.0,4.0,1.0,0.0,-1.0,1.0
1,2020-03-03,2.0,2.0,1,0,2,1,6,4,3,3,0,0,0,0,0,0,0,0,2.0,-2.0,-8.0,-1.0,7.0,10.0,3.0,4.0,5.0,2.0,-9.0,1.0,7.0,9.0,3.0,6.0,9.0,1.0,-6.0,-5.0,11.0,23.0,1.0,8.0,0.0,-2.0,-5.0,1.0,6.0,6.0,-2.0,-2.0,0.0,1.0,4.0,1.0,0.0,-1.0,1.0,0.0
