spatial id,temporal id,Target (normal),Normal target,Tmax t,Tmin_Summer t,Tmin_Winter t,DegreeDays t,ColdTolerance t+1,RelativeHumidity t,SMI t,WindSpeed t,PeakEmergence t,PineCover t,PineHeight t,PineAge t,Latitude,Longitude,Elevation,Slope,Aspect,Northerness,Easterness,Stems,BP0,BP1,BP2,BP3,BP0red,BP1red,BP2red,BP3red,BP0man,BP1man,BP2man,BP3man,Dist2BorderS
79,2006,0.0,0.0,33.7749,3.8913,-33.8883,1529.337585,0.43986,68.0570666666667,42.1722666666667,12.93065,207,0.009434880253453,3.0985499287244203,14.703678818745198,49.5528563161,-109.89976536379999,1203,8.98,351.0,0.987688340595138,-0.15643446504023098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2968.5920230673805
80,2006,0.0,0.0,33.7145,3.8814,-33.883,1523.50613,0.43953,68.0581333333333,42.5912,12.9179,207,0.0,3.03454427153997,14.1616969880688,49.5528563161,-109.89838036379999,1206,8.35,14.8,0.9668233886044592,0.25544575793579,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3028.0244554128003
81,2006,0.0,0.0,33.8239,3.907,-33.8826,1534.050268,0.4398,68.064,41.9869,12.92625,207,0.003530393867403,3.05619028929527,14.377269780181502,49.5528563161,-109.89699536379999,1200,7.05,46.2,0.692143173870407,0.721760228098362,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3089.1348490963
82,2006,0.0,0.0,34.0371,3.9564,-33.8849,1554.884631,0.43982,68.0733,40.76186666666671,12.95055,207,4.16390724580037,2.9835190290916698,13.8138799823528,49.5528563161,-109.89561036379999,1188,4.5,52.3,0.611527040185831,0.7912235329674899,16.8825381230545,0,0,0,0,0,0,0,0,0,0,0,0,3152.6849448638395
83,2006,0.0,0.0,34.106,3.9742,-33.8831,1561.650154,0.4400600000000001,68.0782333333333,40.398633333333294,12.9555,207,8.079570718470679,2.82207863586677,12.5295852069712,49.5528563161,-109.89422536379999,1184,3.35,35.9,0.810041640445796,0.5863723567357889,34.3082647385036,0,0,0,0,0,0,0,0,0,0,0,0,3217.6434536059196
84,2006,0.0,0.0,34.1061,3.9761,-33.8796,1561.6002939999996,0.43996,68.0809,40.445766666666714,12.9499,207,8.28112537365496,2.6925897576331903,11.4643465701884,49.5528563161,-109.89284036379999,1184,3.35,35.9,0.810041640445796,0.5863723567357889,36.139314468167896,0,0,0,0,0,0,0,0,0,0,0,0,3284.83978757618
85,2006,0.0,0.0,34.0878,3.9939,-33.8778,1561.838082,0.44036,68.0858333333333,40.30916666666671,12.95515,207,7.7111561077244914,2.6852753754242302,11.546762030224302,49.5528563161,-109.89145536379999,1180,4.82,38.2,0.785856893175402,0.618408395357554,35.5807576739389,0,0,0,0,0,0,0,0,0,0,0,0,3353.20213075466
86,2006,0.0,0.0,34.064,4.0197,-33.8767,1562.507468,0.44099,68.0920333333333,40.2660333333333,12.96635,207,12.7749443157099,3.943185024896819,18.4247577591841,49.5528563161,-109.89007036379999,1174,6.91,42.3,0.73963109497861,0.673012513509773,121.19602606433901,0,0,0,0,0,0,0,0,0,0,0,0,3423.6212410960693
97,2006,0.0,0.0,34.007,3.9423,-33.8946,1551.973858,0.43992,68.0645,40.8196,12.95915,207,0.0,2.90419503077851,13.6533333652214,49.5537563161,-109.89976536379999,1190,4.83,3.7,0.9979156182721792,0.064532308252958,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2887.66616365125
98,2006,0.0,0.0,33.9238,3.9443,-33.891,1545.699065,0.4408,68.0671666666667,41.23106666666671,12.9535,207,0.251004601950115,2.8649112947441604,13.301163590384,49.5537563161,-109.89838036379999,1190,6.8,11.4,0.980271174621722,0.197657340379126,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2948.72900301083
99,2006,0.0,0.0,33.9408,3.9581,-33.8888,1548.151757,0.44099,68.0715333333333,41.1177333333333,12.95565,207,0.006270703910261999,2.9867871598542006,14.3345379749662,49.5537563161,-109.89699536379999,1187,6.81,23.5,0.917060074385124,0.398749068925246,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3011.4477887112207
100,2006,0.0,0.0,34.0554,3.9759,-33.887,1558.319526,0.44032,68.0765,40.5579,12.9606,207,1.7225531948061,3.00354605839789,14.4845455287641,49.5537563161,-109.89561036379999,1183,4.82,28.5,0.8788171126619649,0.477158760259608,6.77182500295885,0,0,0,0,0,0,0,0,0,0,0,0,3076.60180178984
101,2006,0.0,0.0,34.1226,3.9898,-33.8847,1564.534819,0.44042,68.0809,40.235133333333295,12.96315,207,6.091200502582071,2.8744558831037903,13.427409087844401,49.5537563161,-109.89422536379999,1180,3.84,35.3,0.8161375900801601,0.577857624383505,20.651017427744602,0,0,0,0,0,0,0,0,0,0,0,0,3143.13187478808
102,2006,0.0,0.0,34.1227,3.9917,-33.8812,1564.484679,0.44032,68.0835333333333,40.1423666666667,12.9576,207,7.99734326792259,2.86794901576832,13.2810126864188,49.5537563161,-109.89284036379999,1180,3.84,35.3,0.8161375900801601,0.577857624383505,41.10132347698161,0,0,0,0,0,0,0,0,0,0,0,0,3211.8861895186897
103,2006,0.0,0.0,34.1258,4.0175,-33.88,1567.162612,0.44089,68.0897666666667,39.9934333333333,12.9687,207,8.154041183033769,2.8598305091018097,12.983922115782699,49.5537563161,-109.89145536379999,1174,5.44,48.5,0.662620048215738,0.7489557207890021,42.5532898804468,0,0,0,0,0,0,0,0,0,0,0,0,3281.76729242026
104,2006,0.0,0.0,34.187,4.0631,-33.8801,1576.310366,0.44194,68.0992,39.4369333333333,12.99515,206,7.83935069397194,2.7768626767995097,12.2798792980111,49.5537563161,-109.89007036379999,1163,6.61,51.5,0.6225146366376201,0.782608156852414,40.8671950626685,0,0,0,0,0,0,0,0,0,0,0,0,3353.6853714412105
115,2006,0.0,0.0,34.1697,3.95,-33.8955,1564.94761,0.4397,68.0659333333333,40.1056666666667,12.96115,207,0.006279109979515,2.66835546723678,12.1781539134936,49.554656316099994,-109.89976536379999,1188,1.97,104.4,-0.24868988716485504,0.968583161128631,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2807.9742658319396
116,2006,0.0,0.0,34.1672,3.9757,-33.8944,1567.194833,0.4403,68.0720666666667,40.0011333333333,12.97125,207,0.266280102266805,2.61269891775191,11.745637364126198,49.554656316099994,-109.89838036379999,1182,2.78,70.6,0.332161131883703,0.943222657947601,0.850725465811365,0,0,0,0,0,0,0,0,0,0,0,0,2870.7315616893898
