Unnamed: 0,spatial id,temporal id,Target (normal),Normal target,Tmax t,Tmin_Summer t,Tmin_Winter t,DegreeDays t,ColdTolerance t,RelativeHumidity t,SMI t,WindSpeed t,PeakEmergence t,PineCover t,PineHeight t,PineAge t,Latitude,Longitude,Elevation,Slope,Aspect,Northerness,Easterness,Stems,BP0,BP1,BP2,BP3,BP0red,BP1red,BP2red,BP3red,BP0man,BP1man,BP2man,BP3man,Dist2BorderS
0,79,2006,0.0,0.0,33.7749,3.8913,-33.8883,1529.337585,0.35759,68.0570666666667,42.1722666666667,12.93065,207,0.009434880253453,3.0985499287244203,14.703678818745198,49.5528563161,-109.8997653638,1203,8.98,351.0,0.987688340595138,-0.1564344650402309,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2968.5920230673805
1,80,2006,0.0,0.0,33.7145,3.8814,-33.883,1523.50613,0.35738,68.0581333333333,42.5912,12.9179,207,0.0,3.03454427153997,14.1616969880688,49.5528563161,-109.8983803638,1206,8.35,14.8,0.9668233886044592,0.25544575793579,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3028.0244554128003
2,81,2006,0.0,0.0,33.8239,3.907,-33.8826,1534.050268,0.35662,68.064,41.9869,12.92625,207,0.003530393867403,3.05619028929527,14.377269780181502,49.5528563161,-109.8969953638,1200,7.05,46.2,0.692143173870407,0.721760228098362,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3089.1348490963
3,82,2006,0.0,0.0,34.0371,3.9564,-33.8849,1554.884631,0.35607,68.0733,40.76186666666671,12.95055,207,4.16390724580037,2.9835190290916698,13.8138799823528,49.5528563161,-109.8956103638,1188,4.5,52.3,0.611527040185831,0.7912235329674899,16.8825381230545,0,0,0,0,0,0,0,0,0,0,0,0,3152.6849448638395
4,83,2006,0.0,0.0,34.106,3.9742,-33.8831,1561.650154,0.3559199999999999,68.0782333333333,40.398633333333294,12.9555,207,8.079570718470679,2.82207863586677,12.5295852069712,49.5528563161,-109.8942253638,1184,3.35,35.9,0.810041640445796,0.5863723567357889,34.3082647385036,0,0,0,0,0,0,0,0,0,0,0,0,3217.64345360592
5,84,2006,0.0,0.0,34.1061,3.9761,-33.8796,1561.6002939999998,0.3557599999999999,68.0809,40.44576666666671,12.9499,207,8.28112537365496,2.6925897576331903,11.4643465701884,49.5528563161,-109.8928403638,1184,3.35,35.9,0.810041640445796,0.5863723567357889,36.139314468167896,0,0,0,0,0,0,0,0,0,0,0,0,3284.83978757618
6,85,2006,0.0,0.0,34.0878,3.9939,-33.8778,1561.838082,0.35647,68.0858333333333,40.30916666666671,12.95515,207,7.711156107724491,2.6852753754242302,11.546762030224302,49.5528563161,-109.8914553638,1180,4.82,38.2,0.785856893175402,0.618408395357554,35.5807576739389,0,0,0,0,0,0,0,0,0,0,0,0,3353.20213075466
7,86,2006,0.0,0.0,34.064,4.0197,-33.8767,1562.507468,0.35756,68.0920333333333,40.2660333333333,12.96635,207,12.7749443157099,3.943185024896819,18.4247577591841,49.5528563161,-109.8900703638,1174,6.91,42.3,0.73963109497861,0.673012513509773,121.196026064339,0,0,0,0,0,0,0,0,0,0,0,0,3423.6212410960698
8,97,2006,0.0,0.0,34.007,3.9423,-33.8946,1551.973858,0.35673,68.0645,40.8196,12.95915,207,0.0,2.90419503077851,13.6533333652214,49.5537563161,-109.8997653638,1190,4.83,3.7,0.9979156182721792,0.064532308252958,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2887.66616365125
9,98,2006,0.0,0.0,33.9238,3.9443,-33.891,1545.699065,0.35753,68.0671666666667,41.23106666666671,12.9535,207,0.251004601950115,2.8649112947441604,13.301163590384,49.5537563161,-109.8983803638,1190,6.8,11.4,0.980271174621722,0.197657340379126,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2948.72900301083
10,99,2006,0.0,0.0,33.9408,3.9581,-33.8888,1548.151757,0.35757,68.0715333333333,41.1177333333333,12.95565,207,0.0062707039102619,2.9867871598542006,14.3345379749662,49.5537563161,-109.8969953638,1187,6.81,23.5,0.917060074385124,0.398749068925246,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3011.4477887112203
11,100,2006,0.0,0.0,34.0554,3.9759,-33.887,1558.319526,0.35673,68.0765,40.5579,12.9606,207,1.7225531948061,3.00354605839789,14.4845455287641,49.5537563161,-109.8956103638,1183,4.82,28.5,0.8788171126619649,0.4771587602596079,6.77182500295885,0,0,0,0,0,0,0,0,0,0,0,0,3076.60180178984
12,101,2006,0.0,0.0,34.1226,3.9898,-33.8847,1564.534819,0.35627,68.0809,40.235133333333295,12.96315,207,6.091200502582071,2.8744558831037903,13.4274090878444,49.5537563161,-109.8942253638,1180,3.84,35.3,0.8161375900801601,0.577857624383505,20.6510174277446,0,0,0,0,0,0,0,0,0,0,0,0,3143.13187478808
13,102,2006,0.0,0.0,34.1227,3.9917,-33.8812,1564.484679,0.35611,68.0835333333333,40.1423666666667,12.9576,207,7.99734326792259,2.86794901576832,13.2810126864188,49.5537563161,-109.8928403638,1180,3.84,35.3,0.8161375900801601,0.577857624383505,41.101323476981605,0,0,0,0,0,0,0,0,0,0,0,0,3211.8861895186897
14,103,2006,0.0,0.0,34.1258,4.0175,-33.88,1567.162612,0.35683,68.0897666666667,39.9934333333333,12.9687,207,8.154041183033769,2.8598305091018097,12.9839221157827,49.5537563161,-109.8914553638,1174,5.44,48.5,0.662620048215738,0.7489557207890021,42.5532898804468,0,0,0,0,0,0,0,0,0,0,0,0,3281.76729242026
15,104,2006,0.0,0.0,34.187,4.0631,-33.8801,1576.310366,0.35784,68.0992,39.4369333333333,12.99515,206,7.83935069397194,2.7768626767995097,12.2798792980111,49.5537563161,-109.8900703638,1163,6.61,51.5,0.6225146366376201,0.782608156852414,40.8671950626685,0,0,0,0,0,0,0,0,0,0,0,0,3353.6853714412105
16,115,2006,0.0,0.0,34.1697,3.95,-33.8955,1564.94761,0.35468,68.0659333333333,40.1056666666667,12.96115,207,0.006279109979515,2.66835546723678,12.1781539134936,49.5546563161,-109.8997653638,1188,1.97,104.4,-0.248689887164855,0.968583161128631,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2807.97426583194
